date,Time.of.Issue,Form,Method,Issue,Zip
08/17/2016,6:11 am,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),85142
08/17/2016,9:38 a.m.,Phone,Wired,Telemarketing (including do not call and spoofing),20170
08/17/2016,9:07 am,Phone,Wireless (cell phone/other mobile device),Robocalls,69101
08/17/2016,8:21 a.m.,Phone,Internet (VOIP),Robocalls,80920
08/17/2016,9:00 a.m.,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),80905
08/17/2016,10:45 am,Phone,Wired,Telemarketing (including do not call and spoofing),76226
08/17/2016,12:52 pm,Phone,Wired,Robocalls,30338
08/14/2016,2:22 A.M.,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),11201
08/17/2016,11:16 AM,Phone,Wired,Telemarketing (including do not call and spoofing),75758
08/17/2016,10:00 am,Phone,Wireless (cell phone/other mobile device),Robocalls,60060
08/17/2016,8:00 a.m.,Phone,Wired,Telemarketing (including do not call and spoofing),94534
08/17/2016,10:41 a.m.,Phone,Internet (VOIP),Robocalls,98516
08/17/2016,1:30 P.M.,Phone,Wireless (cell phone/other mobile device),Robocalls,47564
08/17/2016,12:25 pm,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),90039
07/09/2016,3:16 pm,Phone,Wired,Telemarketing (including do not call and spoofing),0
08/17/2016,1:19 pm,Phone,Wired,Telemarketing (including do not call and spoofing),7444
08/09/2016,11:02 am,Phone,Wired,Robocalls,27529
08/17/2016,6:48 p.m.,Phone,Wired,Telemarketing (including do not call and spoofing),20854
08/17/2016,7:15 p.m.,Phone,Internet (VOIP),Telemarketing (including do not call and spoofing),37804
08/17/2016,7:25 pm,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),54720
08/16/2016,12:55 p.m.,Phone,Wireless (cell phone/other mobile device),Robocalls,35051
08/17/2016,NA,Phone,Wired,Robocalls,26508
08/17/2016,8:05 p.m.,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),61520
08/17/2016,1:25 pm,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),47331
08/17/2016,9:15 p.m.,Phone,Wired,Robocalls,34786
08/17/2016,9:23 p.m.,Phone,Wired,Telemarketing (including do not call and spoofing),34787
08/17/2016,3:19 pm,Phone,Wired,Telemarketing (including do not call and spoofing),0
08/13/2016,2:03 pm,Phone,Wired,Telemarketing (including do not call and spoofing),0
08/17/2016,9:28 pm,Phone,Wired,Telemarketing (including do not call and spoofing),73507
07/25/2016,11:29 am,Phone,Wired,Telemarketing (including do not call and spoofing),0
07/07/2016,10:10 am,Phone,Wired,Telemarketing (including do not call and spoofing),0
08/17/2016,9:18 P.M.,Phone,Wireless (cell phone/other mobile device),Robocalls,95841
07/06/2016,5:20 pm,Phone,Wired,Telemarketing (including do not call and spoofing),0
09/07/2016,3:29 pm,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),30052
09/02/2016,2:48 PM,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),46613
09/07/2016,NA,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),46613
09/07/2016,10:06 AM,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),46613
09/08/2016,NA,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),29418
09/07/2016,5:13 pm,Phone,Wired,Telemarketing (including do not call and spoofing),21131
09/08/2016,8:02 am,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),5401
08/02/2016,NA,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),11756
08/18/2016,12:30 p.m.,Phone,Wired,Robocalls,55124
09/07/2016,1:00 pm,Phone,Wired,Telemarketing (including do not call and spoofing),22847
09/07/2016,9:22 am,Phone,Wireless (cell phone/other mobile device),Robocalls,21093
07/26/2016,3:04 P.M.,Phone,Wired,Telemarketing (including do not call and spoofing),20901
07/19/2016,4:30 p.m.,Phone,Wired,Robocalls,6074
07/26/2016,10:14 A.M.,Phone,Internet (VOIP),Telemarketing (including do not call and spoofing),2184
07/27/2016,9:20 am,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),30306
07/25/2016,5:10 A.M.,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),99517
07/27/2016,9:45 am,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),2136
07/25/2016,10:47 a.m.,Phone,Wired,Robocalls,20852
07/27/2016,9:45 a.m.,Phone,Wired,Telemarketing (including do not call and spoofing),22030
07/27/2016,10:06 AM,Phone,Wireless (cell phone/other mobile device),Robocalls,7030
07/27/2016,10:00 a.m.,Phone,Wired,Robocalls,33569
07/27/2016,10:00 am,Phone,Wired,Telemarketing (including do not call and spoofing),23168
07/27/2016,9:45 am,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),33716
07/05/2016,12:17 p.m.,Phone,Wireless (cell phone/other mobile device),Robocalls,34120
07/22/2016,12:10 pm,Phone,Wired,Robocalls,46038
07/27/2016,9:24 am,Phone,Wired,Telemarketing (including do not call and spoofing),45440
07/27/2016,9:21 AM,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),37221
07/27/2016,10:13 am,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),20744
07/27/2016,9:25 am,Phone,Wireless (cell phone/other mobile device),Robocalls,55104
07/26/2016,2:53 PM,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),78721
07/27/2016,10:30 am,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),19038
07/27/2016,10:22 a.m.,Phone,Wireless (cell phone/other mobile device),Robocalls,8527
07/27/2016,9:20 a.m.,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),37087
07/27/2016,9:45 AM,Phone,Wired,Telemarketing (including do not call and spoofing),32446
07/26/2016,5:19 pm,Phone,Wired,Robocalls,45458
07/27/2016,9:28 p.m.,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),77007
07/15/2016,5:25 p.m.,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),77007
07/27/2016,10:45 am,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),30115
07/26/2016,4:27 p.m.,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),11205
07/27/2016,11:00 am,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),20714
07/08/2016,3:25 pm,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),77007
07/27/2016,10:37 am,Phone,Wired,Robocalls,7748
07/27/2016,11:06 am,Phone,Wireless (cell phone/other mobile device),Robocalls,7747
07/27/2016,10:15 am,Phone,Wired,Telemarketing (including do not call and spoofing),20868
07/27/2016,9:56 a.m.,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),39130
07/27/2016,10:00 AM,Phone,Wired,Telemarketing (including do not call and spoofing),21150
07/27/2016,8:00 AM,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),94536
07/27/2016,9:08 am,Phone,Wireless (cell phone/other mobile device),Robocalls,80919
07/26/2016,5:15 P.M.,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),75098
07/27/2016,11:05 am,Phone,Internet (VOIP),Telemarketing (including do not call and spoofing),28714
07/27/2016,10:15 am,Phone,Wireless (cell phone/other mobile device),Robocalls,42104
07/27/2016,11:20 a.m.,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),31088
09/08/2016,9:21 a.m.,Phone,Wired,Robocalls,2534
07/27/2016,10:33 AM,Phone,Wireless (cell phone/other mobile device),Robocalls,1028
07/27/2016,10:44 am,Phone,Wired,Telemarketing (including do not call and spoofing),48316
07/27/2016,11:18 a.m.,Phone,Wireless (cell phone/other mobile device),Robocalls,20005
07/27/2016,10:13 am,Phone,Wireless (cell phone/other mobile device),Robocalls,74135
07/27/2016,9:20 am,Phone,Internet (VOIP),Telemarketing (including do not call and spoofing),83709
07/27/2016,9:00 am,Phone,Wireless (cell phone/other mobile device),Robocalls,10940
07/26/2016,10:32 am,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),30022
07/27/2016,9:45 am,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),30017
07/26/2016,NA,Phone,Wired,Robocalls,1886
07/25/2016,9:03 A.M.,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),80919
07/27/2016,11:30 am,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),60544
07/27/2016,8:08 am,Phone,Internet (VOIP),Telemarketing (including do not call and spoofing),85083
07/27/2016,8:00 AM,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),93389
07/27/2016,11:30 am,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),44041
