Duration (in seconds),Q1,Q41,Q2,Q8,Q3,Q3_4_TEXT,Q42,Q43,Q20,Q21,Q46,Q49,Q50,Q53,Q55,Q44,Q45,Q9
Duration (in seconds),"What is your age in years?
*",What is your gender? *,What is your race? Check all that apply. *,What is the highest level of education you have completed? *,"Thinking about your political affiliation, which of the following do you identify yourself as? * - Selected Choice","Thinking about your political affiliation, which of the following do you identify yourself as? * - Other - Text",What is your current education/employment status? Please mark all that apply. *,"What is your best estimate of total household income from all sources, before taxes, in 2019? *",How optimistic are you about the future of the United States economy over the next 5 years? *,"In January of 2020, how often had you been feeling nervous, anxious, or on edge? *","Over the last two weeks, how often have you been feeling nervous, anxious, or on edge? *","In January of 2020, how often did you have little interest or pleasure in doing things? *","Over the last two weeks, how often have you had little interest or pleasure in doing things? *",Have you received mental health services - counseling or prescription drugs - as a result of the COVID-19 pandemic? *,How optimistic are you about your life in the upcoming month? *,Have you been infected with COVID-19 virus? *,When do you expect to be vaccinated with the COVID-19 vaccination? *,"People are busy these days and do not always have time to answer surveys. While some have time to answer, others may not have time to read survey questions carefully. To show that you’ve read carefully, please ignore the choices below and just click on the NEXT arrow at the bottom of this page. That’s right, there is no question — just click on the NEXT arrow at the bottom of the page and ignore the choices below."
114,42,Male,White,"Associate's degree (e.g., AA, AS)",Independent,,Work from home,"$10,000 to $39,999",Indifferent,Not at all,Not at all,Not at all,Not at all,"Yes, counseling",Indifferent,No,I will decline a COVID-19 vaccination.,
107,45,Female,White,"Bachelor's degree (e.g., BA, BS)",Democrat,,Work from home,"$40,000 to $79,999",Somewhat pessimistic,Rarely (Only a few times in the month),"Frequently (Every other day, 50% of the time or more)","Frequently (Every other day, 50% of the time or more)",Sometimes (Less than 50% of the time),"Yes, counseling",Somewhat pessimistic,,January 2021,Very interested (2)
137,38,Female,White,Some college credit,Democrat,,Work from home,"$10,000 to $39,999",Indifferent,Rarely (Only a few times in the month),Sometimes (Less than 50% of the time),Rarely (Only a few times in the month),Sometimes (Less than 50% of the time),"No, and not thinking about seeking such services in the near future",Somewhat optimistic,No,February 2021,
114,28,Male,White,"Bachelor's degree (e.g., BA, BS)",Democrat,,"Remote Education,Work from home","$40,000 to $79,999",Indifferent,Rarely (Only a few times in the month),"Frequently (Every other day, 50% of the time or more)",Sometimes (Less than 50% of the time),Sometimes (Less than 50% of the time),"Yes, prescription drugs",Somewhat optimistic,No,February 2021,
127,30,Female,White,"Associate's degree (e.g., AA, AS)",Democrat,,Remote Education,"$10,000 to $39,999",Somewhat pessimistic,"Frequently (Every other day, 50% of the time or more)",Rarely (Only a few times in the month),Sometimes (Less than 50% of the time),Rarely (Only a few times in the month),"Yes, prescription drugs",Very optimistic,No,June 2021,
116,55,Female,White,"Bachelor's degree (e.g., BA, BS)",Democrat,,Work from home,"$40,000 to $79,999",Very optimistic,Sometimes (Less than 50% of the time),"Frequently (Every other day, 50% of the time or more)",Rarely (Only a few times in the month),"Frequently (Every other day, 50% of the time or more)","Yes, counseling and prescription drugs",Very pessimistic,"Yes, I tested positive",January 2021,
137,33,Female,White,"Bachelor's degree (e.g., BA, BS)",Republican,,"Work from home,Non-remote working","$80,000 to $119,999",Somewhat optimistic,Rarely (Only a few times in the month),Rarely (Only a few times in the month),Not at all,Not at all,"No, and not thinking about seeking such services in the near future",Somewhat pessimistic,No,June 2021,
123,30,Male,White,"Bachelor's degree (e.g., BA, BS)",Republican,,Work from home,"$10,000 to $39,999",Indifferent,Rarely (Only a few times in the month),Sometimes (Less than 50% of the time),Rarely (Only a few times in the month),"Frequently (Every other day, 50% of the time or more)","Yes, prescription drugs",Indifferent,"Maybe, I had symptoms but did not get tested",March 2021,
174,32,Male,Asian,"Post-bachelor's degree (e.g., MA, MS, MEng, MEd, MSW, MBA, MD, DDS, DVM, LLB, JD, PhD, EdD)",Democrat,,Work from home,"$40,000 to $79,999",Very optimistic,Sometimes (Less than 50% of the time),"Frequently (Every other day, 50% of the time or more)","Frequently (Every other day, 50% of the time or more)",Constantly (Nearly every day or every day),"No, and not thinking about seeking such services in the near future",Somewhat pessimistic,No,March 2021,
