Ticket.ID,Ticket.Created,Date.of.Issue,Time.of.Issue,Form,Method,Issue,Caller.ID.Number,Type.of.Call.or.Messge,Advertiser.Business.Number,Zip,Location..Center.point.of.the.Zip.Code.
1106558,07/27/2016 07:17:13 PM +0000,7/27/2016,10:56 a.m.,Phone,Wireless (cell phone/other mobile device),Robocalls,636-224-3292,Prerecorded Voice,NA,95110,"CA 95110
(37.34081, -121.903019)"
1001914,05/25/2016 10:28:31 PM +0000,5/25/2016,2:17 PM,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),480-327-6740,Live Voice,NA,85225,"AZ 85225
(33.317153, -111.830762)"
1000632,05/25/2016 04:04:18 PM +0000,5/25/2016,10:45 AM,Phone,Internet (VOIP),Telemarketing (including do not call and spoofing),858-277-7503,Abandoned Calls,NA,48640,"MI 48640
(43.600207, -84.307417)"
1106424,07/27/2016 06:34:14 PM +0000,7/27/2016,12:15 PM,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),900-999-9999,Prerecorded Voice,425-312-7268,38138,"TN 38138
(35.086746, -89.800481)"
1145468,08/18/2016 02:53:12 PM +0000,8/17/2016,8:51 AM,Phone,Wireless (cell phone/other mobile device),Robocalls,NA,Prerecorded Voice,NA,61073,"IL 61073
(42.422424, -88.996041)"
1001308,05/25/2016 07:32:25 PM +0000,5/25/2016,2:25 PM,Phone,Wired,Robocalls,303-250-5238,Prerecorded Voice,NA,16870,"PA 16870
(40.806644, -78.036506)"
1001742,05/25/2016 09:39:44 PM +0000,5/25/2016,3:28 PM,Phone,Wireless (cell phone/other mobile device),Robocalls,718-713-6547,Prerecorded Voice,NA,64152,"MO 64152-4970
(39.205117, -94.693075)"
1001959,05/25/2016 10:39:54 PM +0000,5/25/2016,5:21 PM,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),719-309-0716,Abandoned Calls,NA,28792,"NC 28792
(35.374285, -82.38778)"
1107332,07/27/2016 11:15:38 PM +0000,7/27/2016,2:15 P.M.,Phone,Wired,Robocalls,310-929-8451,Prerecorded Voice,310-929-8451,95827,"CA 95827
(38.563097, -121.328511)"
1106961,07/27/2016 09:24:30 PM +0000,7/27/2016,3:55 PM,Phone,Wired,Robocalls,562-716-4056,Prerecorded Voice,NA,10605,"NY 10605
(41.008997, -73.747232)"
1000594,05/25/2016 03:55:06 PM +0000,5/25/2016,10:30 AM,Phone,Wireless (cell phone/other mobile device),Robocalls,NA,Prerecorded Voice,NA,17055,"PA 17055
(40.183843, -76.993353)"
1002319,05/26/2016 01:33:09 AM +0000,5/25/2016,7:10 PM,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),NA,Abandoned Calls,267-396-8047,43074,"OH 43074
(40.278233, -82.852534)"
1001086,05/25/2016 06:19:51 PM +0000,5/25/2016,1:00 p.m.,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),216-323-2314,Live Voice,NA,40205,"KY 40205
(38.223485, -85.682857)"
1000743,05/25/2016 04:38:33 PM +0000,5/25/2016,10:32 a.m.,Phone,Wired,Telemarketing (including do not call and spoofing),240-394-6009,Live Voice,NA,20874,"MD 20874
(39.158483, -77.280856)"
1106111,07/27/2016 04:47:27 PM +0000,7/26/2016,NA,Phone,Wired,Robocalls,NA,Prerecorded Voice,508-861-4121,1886,"MA 01886
(42.586775, -71.437304)"
1106313,07/27/2016 06:01:28 PM +0000,7/27/2016,9:43 AM,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),408-462-6697,Prerecorded Voice,NA,95125,"CA 95125-1955
(37.300792, -121.879765)"
1105909,07/27/2016 03:28:35 PM +0000,7/27/2016,9:24 AM,Phone,Wired,Telemarketing (including do not call and spoofing),NA,Abandoned Calls,NA,45440,"OH 45440
(39.676199, -84.104472)"
1000741,05/25/2016 04:37:34 PM +0000,5/25/2016,9:37 a.m.,Phone,Wireless (cell phone/other mobile device),Robocalls,313-327-3063,Prerecorded Voice,NA,30319,"GA 30319
(33.877599, -84.335721)"
1107210,07/27/2016 10:40:35 PM +0000,7/27/2016,4:37 PM,Phone,Internet (VOIP),Robocalls,321-200-0151,Prerecorded Voice,321-200-0151,1824,"MA 01824
(42.593923, -71.355551)"
1105921,07/27/2016 03:32:34 PM +0000,7/27/2016,9:21 AM,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),615-247-5330,Prerecorded Voice,NA,37221,"TN 37221
(36.064367, -86.96029)"
1000954,05/25/2016 05:42:37 PM +0000,5/25/2016,9:45 AM,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),405-212-7258,Text Message,NA,80210,"CO 80210
(39.679179, -104.963089)"
1031417,06/11/2016 04:47:54 PM +0000,6/11/2016,10:05 AM,Phone,Wired,Robocalls,866-820-7065,Prerecorded Voice,866-820-7065,20155,"VA 20155
(38.802729, -77.616603)"
1105991,07/27/2016 04:10:34 PM +0000,7/27/2016,11:00 AM,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),334-447-7095,Prerecorded Voice,NA,20714,"MD 20714
(38.71347, -76.536244)"
1144995,08/18/2016 01:41:16 AM +0000,8/17/2016,7:25 PM,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),920-249-8224,Live Voice,NA,54720,"WI 54720
(44.803123, -91.437644)"
1105939,07/27/2016 03:40:17 PM +0000,7/27/2016,10:22 a.m.,Phone,Wireless (cell phone/other mobile device),Robocalls,305-515-8780,Prerecorded Voice,305-515-8780,8527,"NJ 08527
(40.119851, -74.328492)"
1107106,07/27/2016 09:58:38 PM +0000,4/5/2016,6:00 p.m.,Phone,Wired,Telemarketing (including do not call and spoofing),702-497-5639,Prerecorded Voice,NA,91361,"CA 91361
(34.147037, -118.852186)"
1106595,07/27/2016 07:30:00 PM +0000,7/27/2016,11:20 AM,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),NA,Prerecorded Voice,520-463-4133,85301,"AZ 85301
(33.533071, -112.178819)"
1001701,05/25/2016 09:24:26 PM +0000,5/25/2016,3:07 PM,Phone,Wireless (cell phone/other mobile device),Robocalls,206-681-9680,Autodialed Live Voice Call,NA,55118,"MN 55118
(44.89895, -93.105741)"
1000713,05/25/2016 04:31:05 PM +0000,5/25/2016,9:58 AM,Phone,Wired,Robocalls,303-250-5238,Prerecorded Voice,NA,53154,"WI 53154
(42.882424, -87.904874)"
1107149,07/27/2016 10:15:13 PM +0000,7/27/2016,1:47 PM,Phone,Wired,Telemarketing (including do not call and spoofing),562-716-3672,Live Voice,NA,46278,"IN 46278
(39.892692, -86.290568)"
1056064,06/26/2016 09:47:17 PM +0000,6/26/2016,11:14 AM,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),844-898-1220,Text Message,NA,60640,"IL 60640
(41.971888, -87.662232)"
1182164,09/08/2016 02:46:32 PM +0000,9/8/2016,9:3 A.M.,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),225-289-7540,Prerecorded Voice,225-289-7540,15068,"PA 15068
(40.566993, -79.724247)"
1000950,05/25/2016 05:41:33 PM +0000,5/25/2016,11:35 AM,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),NA,Live Voice,NA,76543,"TX 76543
(31.110359, -97.690475)"
1106623,07/27/2016 07:39:39 PM +0000,7/27/2016,10:00 AM,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),NA,Prerecorded Voice,305-508-4609,98116,"WA 98116
(47.574001, -122.394511)"
1001203,05/25/2016 06:55:10 PM +0000,5/25/2016,12:22 p.m.,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),412-430-0217,Prerecorded Voice,NA,4106,"ME 04106
(43.630656, -70.283346)"
1001245,05/25/2016 07:11:21 PM +0000,5/25/2016,11:02 AM,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),714-713-6547,Prerecorded Voice,714-713-6547,90046,"CA 90046
(34.105325, -118.364441)"
1001002,05/25/2016 05:57:52 PM +0000,5/25/2016,11:50 AM,Phone,Wireless (cell phone/other mobile device),Robocalls,610-508-4057,Abandoned Calls,610-508-4057,20817,"MD 20817
(38.998099, -77.143306)"
1001886,05/25/2016 10:22:44 PM +0000,5/25/2016,11:46 AM,Phone,Wired,Telemarketing (including do not call and spoofing),213-141-5163,Prerecorded Voice,NA,95207,"CA 95207
(38.003116, -121.323513)"
1001673,05/25/2016 09:18:51 PM +0000,5/25/2016,3:45 PM,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),904-282-0880,Prerecorded Voice,NA,32068,"FL 32068
(30.080821, -81.872895)"
1000433,05/25/2016 02:43:05 PM +0000,5/25/2016,9:30 AM,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),404-491-7274,Prerecorded Voice,NA,30534,"GA 30534-0704
(34.419636, -84.115749)"
1106944,07/27/2016 09:19:10 PM +0000,7/27/2016,9:46 AM,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),NA,Live Voice,NA,78736,"TX 78736
(30.241891, -97.930895)"
1106882,07/27/2016 09:02:45 PM +0000,7/27/2016,12:54 PM,Phone,Wireless (cell phone/other mobile device),Robocalls,424-217-7795,Prerecorded Voice,NA,89048,"NV 89048
(36.176861, -116.005739)"
1107156,07/27/2016 10:17:45 PM +0000,7/27/2016,3:45 PM,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),574-406-8672,Live Voice,NA,66215,"KS 66215
(38.956982, -94.741776)"
1002061,05/25/2016 11:17:13 PM +0000,5/25/2016,6:08 p.m.,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),307-316-7507,Prerecorded Voice,NA,8075,"NJ 08075
(40.026579, -74.951515)"
1001409,05/25/2016 07:52:33 PM +0000,5/25/2016,2:35 P.M.,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),716-404-9724,Text Message,716-404-9724,45067,"OH 45067
(39.483233, -84.470232)"
1002043,05/25/2016 11:09:35 PM +0000,5/24/2016,9:32 AM,Phone,Internet (VOIP),Telemarketing (including do not call and spoofing),214-364-4767,Live Voice,214-364-4767,95076,"CA 95076
(36.937136, -121.765301)"
1000332,05/25/2016 01:16:14 PM +0000,3/14/2016,11:00 AM,Phone,Wired,Telemarketing (including do not call and spoofing),601-553-0515,NA,NA,39301,"MS 39301
(32.313297, -88.624084)"
1002273,05/26/2016 01:03:59 AM +0000,5/25/2016,11:13 PM,Phone,Internet (VOIP),Robocalls,914-215-3196,Prerecorded Voice,914-215-3196,78723,"TX 78723
(30.30723, -97.686715)"
1001697,05/25/2016 09:23:35 PM +0000,5/25/2016,4:15 PM,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),204-784-9423,Live Voice,NA,47403,"IN 47403
(39.10742, -86.591262)"
