case_ID,wave,year,weight_wave,weight_aggregate,happening,cause_original,cause_other_text,cause_recoded,sci_consensus,worry,harm_personally,harm_US,harm_dev_countries,harm_future_gen,harm_plants_animals,when_harm_US,reg_CO2_pollutant,reg_utilities,fund_research,reg_coal_emissions,discuss_GW,hear_GW_media,gender,age,age_category,generation,educ,educ_category,minincome,income_category,race,ideology,party,party_w_leaners,party_x_ideo,registered_voter,region9,region4,religion,religion_other_nonchristian,evangelical,service_attendance,marit_status,employment,house_head,house_size,house_ages0to1,house_ages2to5,house_ages6to12,house_ages13to17,house_ages18plus,house_type,house_own
2,1,1,0.54,0.29440218,3,1,,6,4,3,2,3,4,4,4,5,4,4,4,NA,3,NA,2,78,3,5,9,2,50000,2,1,4,1,1,5,1,5,3,2,,2,5,2,5,1,3,0,0,0,0,3,1,1
3,1,1,0.85,0.46341084,2,1,,6,1,2,2,-1,2,3,3,3,3,3,3,NA,2,NA,1,45,2,4,6,1,30000,1,1,3,5,4,-2,2,3,2,2,,3,2,5,6,2,2,0,0,0,0,2,4,2
5,1,1,0.49,0.26714272,2,2,,4,2,1,1,1,1,1,1,1,2,1,1,NA,1,NA,2,54,2,4,14,4,30000,1,4,4,1,1,5,1,8,4,4,,2,5,1,4,2,2,0,0,0,0,2,1,1
6,1,1,0.29,0.15810487,3,2,,4,4,3,2,2,3,3,3,4,3,4,4,NA,2,NA,1,71,3,5,13,4,100000,3,1,4,3,1,5,1,5,3,2,,2,2,1,5,2,2,0,0,0,0,2,1,1
7,1,1,1.29,0.70329409,3,1,,6,2,3,0,0,0,0,3,2,3,1,4,NA,1,NA,2,26,1,2,10,3,60000,2,1,4,1,1,5,1,6,3,1,,1,5,1,1,2,2,0,0,0,0,2,1,1
8,1,1,2.56,1.39568441,2,2,,4,2,2,0,0,0,0,0,2,1,1,3,NA,2,NA,1,29,1,3,12,4,75000,2,1,5,3,1,5,1,9,4,11,,1,5,1,2,2,3,0,0,1,0,2,2,1
9,1,1,0.23,0.12539352,3,1,,6,2,3,2,3,4,4,4,5,3,2,4,NA,3,NA,1,29,1,3,12,4,7500,1,3,4,1,1,5,1,8,4,4,,2,5,1,1,2,2,0,0,0,0,2,3,2
11,1,1,0.82,0.44705516,1,1,,6,3,2,3,3,3,3,3,4,2,2,2,NA,2,NA,1,34,1,3,12,4,50000,2,3,2,3,3,3,1,8,4,15,,2,1,3,1,2,2,0,0,0,0,2,1,1
12,1,1,0.38,0.2071719,1,4,,3,2,1,1,1,1,1,1,1,2,2,3,NA,3,NA,2,46,2,4,12,4,100000,3,1,4,3,3,3,1,2,1,2,,1,5,1,2,2,2,0,0,0,0,2,1,1
14,1,1,0.35,0.19081623,3,2,,4,4,3,0,0,0,4,4,3,3,4,4,NA,3,NA,2,60,3,4,12,4,125000,3,1,5,1,1,5,1,7,3,1,,1,4,1,7,2,4,0,0,0,0,4,1,1
15,1,1,0.91,0.49612219,3,1,,6,1,2,0,0,0,0,0,3,3,3,3,NA,2,NA,2,65,3,5,9,2,25000,1,1,3,2,2,2,1,5,3,2,,2,3,2,1,2,1,0,0,0,0,1,1,2
16,1,1,1.01,0.55064111,3,1,,6,2,3,1,0,0,0,3,3,4,1,1,NA,2,NA,2,67,3,5,14,4,20000,1,1,4,1,1,5,1,7,3,2,,1,2,3,5,2,1,0,0,0,0,1,2,1
17,1,1,0.82,0.44705516,3,1,,6,4,3,3,3,4,4,4,5,4,4,3,NA,2,NA,2,68,3,5,9,2,100000,3,1,3,3,2,2,1,2,1,5,,2,2,1,5,2,2,0,0,0,0,2,1,1
18,1,1,0.41,0.22352758,3,1,,6,4,3,2,2,2,3,2,4,3,3,3,NA,1,NA,2,60,3,4,10,3,0,1,1,3,2,2,2,1,4,2,3,,2,1,3,5,2,1,0,0,0,0,1,1,1
19,1,1,2.9,1.58104874,3,3,both of the above,5,4,4,4,4,4,4,4,5,3,2,4,NA,3,NA,1,63,3,5,9,2,20000,1,3,1,2,2,1,1,7,3,1,,3,5,1,1,2,2,0,0,0,0,2,1,1
20,1,1,0.82,0.44705516,2,2,,4,2,2,2,2,2,3,3,2,2,2,3,NA,2,NA,2,32,1,3,13,4,100000,3,1,4,1,1,5,1,7,3,11,,2,5,1,7,2,3,0,1,0,0,2,1,1
21,1,1,0.55,0.29985407,3,1,,6,2,4,3,3,4,4,4,5,3,3,4,NA,2,NA,1,44,2,4,12,4,100000,3,1,2,2,2,1,1,4,2,2,,2,5,1,1,2,4,0,0,2,0,2,1,1
22,1,1,0.28,0.15265298,3,1,,6,1,2,3,3,0,0,3,6,4,1,3,NA,1,NA,1,76,3,5,9,2,20000,1,1,3,2,2,2,1,2,1,2,,2,3,1,5,2,2,0,0,0,0,2,3,2
23,1,1,0.81,0.44160327,3,1,,6,4,4,3,3,3,4,4,6,4,4,4,NA,3,NA,1,38,2,3,12,4,25000,1,1,2,3,2,1,1,1,1,15,,2,1,5,1,2,1,0,0,0,0,1,3,2
24,1,1,0.35,0.19081623,3,3,a combination of human and natural activity,5,4,1,1,1,1,1,1,1,4,4,4,NA,1,NA,1,45,2,4,11,3,60000,2,1,4,5,4,-2,1,5,3,11,,1,5,1,1,2,5,0,0,1,1,3,2,1
25,1,1,0.38,0.2071719,3,1,,6,4,3,3,-1,4,4,4,6,4,3,4,NA,4,NA,2,40,2,3,14,4,175000,3,1,2,2,2,1,2,8,4,3,,2,3,1,1,2,3,0,0,1,0,2,1,1
26,1,1,0.49,0.26714272,1,2,,4,2,1,1,1,1,1,1,1,1,1,4,NA,1,NA,1,70,3,5,9,2,40000,1,1,5,1,1,5,1,5,3,1,,1,6,1,5,2,3,0,0,0,0,3,1,1
27,1,1,0.91,0.49612219,3,2,,4,2,2,2,2,2,2,2,2,2,4,4,NA,2,NA,2,41,2,3,12,4,85000,2,1,5,1,1,5,1,3,2,3,,2,5,1,1,2,3,0,0,1,0,2,1,1
28,1,1,0.98,0.53428544,3,2,,4,2,2,2,2,2,2,3,2,3,3,4,NA,2,NA,2,34,1,3,9,2,50000,2,1,3,3,1,4,2,7,3,11,,1,2,1,1,2,4,0,0,2,0,2,1,1
29,1,1,0.51,0.2780465,3,1,,6,4,2,1,2,3,3,3,4,4,4,4,NA,2,NA,2,69,3,5,12,4,40000,1,1,1,2,2,1,1,5,3,5,,2,2,3,5,2,1,0,0,0,0,1,3,1
30,1,1,3.74,2.03900769,3,1,,6,2,2,3,4,4,4,4,6,4,4,4,NA,2,NA,1,27,1,2,13,4,75000,2,3,2,2,2,1,2,1,1,7,,2,2,5,1,2,1,0,0,0,0,1,3,2
32,1,1,0.77,0.4197957,2,2,,4,2,3,3,4,4,4,4,6,4,1,4,NA,1,NA,2,68,3,5,10,3,25000,1,1,3,3,3,3,1,9,4,1,,1,2,1,5,2,2,0,0,0,0,2,4,1
34,1,1,0.15,0.08177838,3,2,,4,1,2,2,3,3,3,3,2,1,3,4,NA,3,NA,1,68,3,5,10,3,100000,3,1,2,1,1,4,1,3,2,2,,2,5,1,5,2,2,0,0,0,0,2,1,1
35,1,1,1.3,0.70874599,3,2,,4,4,2,1,1,1,3,3,2,1,2,3,NA,1,NA,2,25,1,2,12,4,20000,1,1,4,1,1,5,1,7,3,1,,1,5,1,1,2,2,0,0,0,0,2,3,2
36,1,1,0.75,0.40889192,3,1,,6,4,3,3,3,3,4,4,6,3,4,4,NA,3,NA,1,43,2,3,12,4,60000,2,1,2,2,2,1,1,5,3,15,,2,1,6,2,2,2,0,0,0,0,2,1,1
37,1,1,0.85,0.46341084,3,2,,4,2,1,1,1,1,-1,1,1,2,1,3,NA,1,NA,1,23,1,2,12,4,85000,2,1,3,4,3,3,1,5,3,15,,2,1,5,1,2,3,0,0,0,0,3,1,1
38,1,1,0.74,0.40344002,3,1,,6,1,3,0,4,4,0,0,3,2,4,3,NA,3,NA,2,58,3,4,13,4,0,1,1,3,3,2,2,1,4,2,2,,1,5,5,6,1,1,0,0,0,0,1,3,2
39,1,1,0.87,0.47431462,3,1,,6,4,3,2,4,4,4,4,6,3,4,4,NA,4,NA,2,28,1,3,12,4,125000,3,1,3,2,2,2,1,5,3,2,,1,5,1,1,2,1,0,0,0,0,1,3,1
40,1,1,1.73,0.94317735,2,2,,4,2,3,0,3,3,0,2,1,1,1,3,NA,3,NA,1,50,2,4,14,4,175000,3,1,4,3,1,5,1,7,3,1,,1,3,1,1,2,4,0,0,0,0,4,1,1
41,1,1,1.14,0.62151571,1,2,,4,2,1,1,1,1,1,1,1,3,4,4,NA,3,NA,1,33,1,3,9,2,60000,2,4,3,3,3,3,1,9,4,9,,1,6,1,1,2,4,0,0,2,0,2,1,1
42,1,1,2.04,1.11218601,2,1,,6,2,2,0,0,0,0,0,6,-1,-1,-1,NA,2,NA,2,19,1,2,9,2,85000,2,4,2,2,2,1,1,9,4,3,,2,3,5,1,1,5,0,0,1,0,4,1,1
43,1,1,2.28,1.24303142,3,3,Caused by both of the above,5,4,3,3,3,3,4,4,3,4,4,4,NA,3,NA,1,55,3,4,13,4,85000,2,1,2,2,2,1,1,7,3,2,,2,5,1,1,2,3,0,0,1,0,2,1,1
44,1,1,0.73,0.39798813,3,1,,6,4,3,3,3,4,4,4,4,3,3,4,NA,3,NA,1,34,1,3,12,4,100000,3,1,2,4,3,3,1,9,4,15,,2,1,1,1,2,2,0,0,0,0,2,1,1
45,1,1,1.24,0.67603463,3,1,,6,4,3,3,3,4,4,4,4,3,4,4,NA,2,NA,2,24,1,2,11,3,175000,3,1,2,2,2,1,1,9,4,2,,2,1,5,1,1,3,0,0,0,0,3,1,1
46,1,1,0.6,0.32711353,3,1,,6,2,3,4,4,4,4,4,6,2,2,3,NA,3,NA,2,46,2,4,9,2,50000,2,1,3,3,3,3,1,6,3,11,,1,6,1,7,2,3,0,0,0,0,3,1,1
47,1,1,0.87,0.47431462,3,1,,6,4,3,0,0,0,0,0,4,4,3,4,NA,2,NA,1,23,1,2,12,4,60000,2,1,2,2,2,1,2,5,3,15,,2,2,5,1,1,2,0,0,0,0,2,2,1
48,1,1,1.15,0.6269676,1,4,,3,2,1,1,1,1,1,1,1,3,3,4,NA,2,NA,2,46,2,4,10,3,40000,1,1,3,1,1,4,1,7,3,1,,1,5,1,4,2,3,0,0,0,0,3,1,1
